11,11,11,11,11,11,10,10,12,12,12,12,12,12,12,12,10,10,13,13,13,13,13,13,13
11,11,11,11,11,11,10,10,12,12,12,12,12,12,12,12,10,10,13,13,13,13,13,13,13
11,11,11,11,11,11,10,2,12,12,12,12,12,12,12,12,2,10,13,13,13,13,13,13,13
11,11,11,11,11,11,10,10,12,12,12,12,12,12,12,12,10,10,13,13,13,13,13,13,13
11,11,11,11,11,11,10,10,12,12,12,12,12,12,12,12,10,10,3,13,13,13,13,13,13
10,10,10,1,10,10,10,10,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,2,10,10,10,10,2,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15
10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,10,10,5,15,15,15,15,15,15,15
14,14,14,14,14,10,10,10,10,10,0,0,0,0,0,10,10,10,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,10,10,10,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,10,10,10,15,15,15,15,15,15,15
14,14,14,14,14,14,14,14,4,10,0,0,0,0,0,10,10,10,10,10,10,10,10,5,10
14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,10,10,10,10,10,10,6,10,10,10
14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,10,10,10,16,16,16,16,16,16,16
14,14,14,14,14,14,14,14,10,10,0,0,0,0,0,10,10,16,16,16,16,16,16,16,16
10,10,10,10,10,10,4,10,10,10,0,0,0,0,0,10,6,16,16,16,16,16,16,16,16
10,10,10,10,10,10,10,10,10,10,10,8,8,10,10,10,10,16,16,16,16,16,16,16,16
10,10,10,10,10,10,7,10,10,18,18,18,18,18,18,10,10,10,16,16,16,16,16,16,16
17,17,17,17,17,17,17,10,10,18,18,18,18,18,18,8,10,10,10,10,10,10,10,10,10
17,17,17,17,17,17,17,10,10,18,18,18,18,18,18,10,10,9,10,10,10,10,10,10,10
17,17,17,17,17,17,17,10,10,18,18,18,18,18,18,10,10,19,19,19,19,19,19,19,19
17,17,17,17,17,17,17,10,10,18,18,18,18,18,18,10,10,19,19,19,19,19,19,19,19
17,17,17,17,17,17,17,10,10,18,18,18,18,18,18,10,10,19,19,19,19,19,19,19,19
17,17,17,17,17,17,17,10,10,18,18,18,18,18,18,10,10,19,19,19,19,19,19,19,19
